Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Rarely,409,Sales,23,4,Marketing,1,1,2,Female,50,1,1,Research Director,2,Divorced,5587,25295,4,Y,No,17,3,1,80,3,25,2,1,30,15,12,8
46,No,Travel_Rarely,1255,Sales,10,2,Medical,1,2,1,Male,64,3,1,Manager,4,Single,1356,8540,5,Y,No,13,3,1,80,1,24,1,3,12,14,13,13
32,No,Non-Travel,1195,Research & Development,10,1,Medical,1,3,4,Female,58,4,5,Human Resources,2,Married,16787,14394,0,Y,Yes,12,3,1,80,3,27,0,2,14,10,0,0
25,No,Travel_Rarely,944,Research & Development,20,4,Other,1,4,1,Female,36,2,2,Human Resources,2,Single,6499,18910,2,Y,No,16,4,1,80,2,32,0,4,12,11,11,3
38,No,Travel_Rarely,1310,Research & Development,25,3,Other,1,5,3,Female,82,1,1,Human Resources,4,Married,4841,25538,8,Y,No,18,3,3,80,2,17,2,2,32,10,0,16
56,No,Non-Travel,585,Human Resources,22,3,Life Sciences,1,6,3,Female,66,2,4,Manager,1,Single,13122,23263,4,Y,No,18,4,3,80,2,17,2,3,30,4,6,9
36,Yes,Non-Travel,1314,Sales,29,2,Life Sciences,1,7,1,Female,52,2,4,Human Resources,1,Divorced,14409,16860,4,Y,No,21,3,3,80,0,37,2,1,24,7,13,1
40,No,Travel_Rarely,219,Human Resources,3,3,Marketing,1,8,4,Female,37,1,5,Laboratory Technician,3,Married,8059,7845,7,Y,No,12,3,2,80,3,32,6,1,39,5,9,5
28,No,Non-Travel,319,Human Resources,6,1,Other,1,9,1,Female,77,3,4,Healthcare Representative,4,Divorced,1665,9971,1,Y,No,16,4,1,80,0,26,6,1,22,15,2,8
28,No,Travel_Frequently,152,Sales,29,4,Human Resources,1,10,3,Female,39,3,5,Research Scientist,3,Married,11220,21057,6,Y,No,22,3,1,80,0,14,1,3,37,11,11,8
